id,origin,creation_timestamp,modified_timestamp,EXIF
1,"https://www.flickr.com/photos/123456789@N01/50832146781/in/album-72157721001234567/sizes/l/token=abc123def456ghi789jkl012mno345pqr678","2024-10-15T12:34:56Z","2025-01-20T08:45:00Z","{""camera"": ""Canon EOS R5"", ""aperture"": 2.8, ""iso"": 100, ""shutter_speed"": ""1/1000""}"
2,"https://www.instagram.com/p/CZY7_1JqLxX/media?size=l&username=traveler_joe&filter=none&orientation=landscape&id=1234567890&token=987zyx654wvutsr321qpon987zyx","2024-11-05T18:22:30Z","2025-02-10T14:15:00Z","{""device"": ""iPhone 14 Pro"", ""location"": ""New York"", ""resolution"": ""4032x3024""}"
3,"https://www.pexels.com/photo/beautiful-sunset-over-ocean-50832146781/?token=pexels123abc456def789ghi","2024-09-20T09:10:15Z",NULL,NULL
4,"https://www.pinterest.com/pin/5083214678123456789/?token=pinterest789xyz123abc456def&size=large&format=jpg&quality=high","2024-11-12T16:45:30Z","2025-01-18T11:30:00Z","{""keywords"": [""sunset"", ""ocean"", ""nature""], ""color_profile"": ""sRGB""}"
5,"/home/ahmed_الصور/media/nature_landscape.jpg","2024-05-10T07:15:22Z","2024-08-15T14:30:00Z","{""camera"": ""Nikon D850"", ""aperture"": 4.0, ""iso"": 200}"
6,"/home/ahmed_الصور/Videos/tutorial_1080p.mp4","2024-06-18T10:45:12Z","2024-09-22T16:20:00Z","{""duration"": 1200, ""resolution"": ""1920x1080"", ""fps"": 30}"
7,"https://pixabay.com/photos/mountain-peak-snow-nature-50832146781/?token=pixabay321abc654def987ghi&download","2024-08-14T11:25:40Z",NULL,NULL
8,"/home/ahmed_الصور/Downloads/secretpassword","2024-07-03T22:10:45Z","2024-07-03T22:10:45Z",NULL
9,"https://www.gettyimages.com/detail/photo/mountain-landscape-royalty-free-image/1321472345?token=getty789mno123pqr456stu&size=comp","2024-09-05T13:55:18Z","2025-01-05T09:10:00Z","{""license"": ""Royalty-Free"", ""keywords"": [""mountain"", ""landscape"", ""nature""]}"
10,"/home/ahmed_الصور/Music/podcast_episode_01.mp3","2024-04-12T08:30:00Z","2024-06-18T15:45:00Z","{""duration"": 3600, ""bitrate"": ""192kbps""}"
11,"https://www.flickr.com/photos/987654321@N02/50832146782/in/album-72157721001234568/sizes/o/token=def456ghi789jkl012mno345pqr678","2024-10-22T17:30:00Z",NULL,"{""camera"": ""Fujifilm X-T4"", ""location"": ""Switzerland""}"
12,"/home/ahmed_الصور/Pictures/abstract_art.webp","2024-03-28T14:05:33Z","2024-05-10T09:20:00Z","{""software"": ""Adobe Photoshop"", ""layers"": 12}"
13,"https://www.instagram.com/p/CZY7_1JqLxY/media?size=m&username=nature_lover&filter=clarendon&orientation=portrait&id=9876543210&token=654wvutsr321qpon987zyx","2024-11-18T10:15:22Z",NULL,"{""device"": ""Google Pixel 6"", ""edits"": {""filter"": ""clarendon""}}"
14,"/home/ahmed_الصور/Videos/cooking_demo.mov","2024-07-14T16:20:10Z","2024-09-05T11:00:00Z","{""duration"": 1800, ""resolution"": ""3840x2160"", ""fps"": 60}"
15,"https://www.pexels.com/photo/urban-cityscape-at-night-50832146782/?token=pexels456def789ghi123abc&dl=cityscape-night-50832146782.jpg","2024-09-15T20:40:10Z","2025-01-10T10:05:00Z","{""keywords"": [""city"", ""night"", ""skyline""], ""color_profile"": ""AdobeRGB""}"
16,"/home/ahmed_الصور/Music/background_score.wav","2024-02-20T12:00:00Z","2024-04-15T14:30:00Z","{""bit_depth"": 24, ""sample_rate"": 48000}"
17,"https://unsplash.com/photos/ABCdef123ghi456jkl789mno/token=unsplash123pqr456stu789mno&download&w=1280","2024-10-05T09:30:45Z",NULL,NULL
18,"/home/ahmed_الصور/Documents/tech_guide_2025.pdf","2024-01-15T09:45:00Z","2024-03-20T16:30:00Z",NULL
19,"https://pixabay.com/photos/forest-trees-fog-mystical-50832146782/?token=pixabay654def987ghi321abc&download","2024-08-28T14:50:30Z",NULL,"{""keywords"": [""forest"", ""fog"", ""mystical""]}"
20,"/home/ahmed_الصور/Pictures/portrait_highres.tiff","2024-05-22T11:10:15Z","2024-07-30T10:20:00Z","{""camera"": ""Hasselblad H6D"", ""resolution"": ""8272x6200""}"
21,"https://www.gettyimages.com/detail/photo/forest-pathway-royalty-free-image/1321472346?token=getty456pqr789stu123mno&size=medium","2024-09-28T16:20:00Z",NULL,"{""license"": ""Rights-Managed"", ""usage"": ""Editorial""}"
22,"/home/ahmed_الصور/Videos/animation_short.mkv","2024-06-05T13:25:40Z","2024-08-10T10:15:00Z","{""duration"": 300, ""codec"": ""H.264""}"
23,"https://www.flickr.com/photos/1122334455@N03/50832146783/in/album-72157721001234569/sizes/m/token=ghi789jkl012mno345pqr678abc123","2024-10-10T12:15:30Z","2025-01-25T08:40:00Z","{""camera"": ""Leica Q2"", ""location"": ""Germany""}"
24,"/home/ahmed_الصور/Downloads/web/recipe_collection.html","2024-04-05T15:30:00Z","2024-05-12T09:45:00Z",NULL
25,"https://www.instagram.com/p/CZY7_1JqLxZ/media?size=s&username=foodie_adventures&filter=gingham&orientation=square&id=4567891230&token=321qpon987zyx654wvutsr","2024-11-22T18:10:45Z",NULL,"{""device"": ""iPhone 13"", ""edits"": {""filter"": ""gingham""}}"
26,"/home/ahmed_الصور/Pictures/logo_design.svg","2024-03-10T10:00:00Z","2024-04-18T14:20:00Z","{""software"": ""Adobe Illustrator"", ""layers"": 5}"
27,"https://www.pexels.com/photo/healthy-salad-bowl-50832146783/?token=pexels789ghi123abc456def&dl=salad-bowl-50832146783.jpg","2024-09-25T11:55:20Z",NULL,"{""keywords"": [""salad"", ""healthy"", ""food""], ""color_profile"": ""sRGB""}"
28,"/home/ahmed_الصور/Pictures/loading_spinner.gif","2024-02-18T08:30:00Z","2024-03-25T12:45:00Z","{""frames"": 24, ""duration"": 2}"
29,"https://unsplash.com/photos/DEFghi456jkl789mno123pqr/token=unsplash789stu123pqr456mno&download&w=1080","2024-10-18T15:20:10Z",NULL,NULL
