origin,creation_timestamp,modified_timestamp,cow,car,tree,human
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DdBnniua6-oM&psig=AOvVaw2mY4u4n2qJj5zVBhvfoCvv&ust=1756024276009000&source=videos&cd=vfe&opi=90013&FILENAME=travel-vlog23.mkv,11/23/2008,3/8/2021,false,true,false,false
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.cnet.com%2Ftech%2Flatest-tech-reviews-2025&psig=AOvVaw0pLmN7pQrT8sUvWxYz12Kk&ust=1756024276009000&source=videos&cd=vfe&opi=90028&FILENAME=tech-review35.mp4,2/5/2010,1/26/2014,true,true,true,false
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.shutterstock.com%2Fsearch%2Fvintage&psig=AOvVaw1xY2zZ9pQrT8sUvWxYz12Jj&ust=1756024276009000&source=images&cd=vfe&opi=90027&FILENAME=vintage34.webp,6/3/2000,6/12/2020,false,false,true,true
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.lonelyplanet.com%2Farticles%2Fultimate-travel-guide-2025&psig=AOvVaw2mY4u4n2qJj5zVBhvfoCMn&ust=1756024276009000&source=articles&cd=vfe&opi=89985&FILENAME=travel-guide.pdf,1/16/2001,4/3/2014,true,false,false,false
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.espn.com%2Fvideo%2Fclip%3Fid%3D32178945&psig=AOvVaw3kLmN7pQrT8sUvWxYz12Vw&ust=1756024276009000&source=videos&cd=vfe&opi=89990&FILENAME=sports5.mp4,9/6/2010,4/15/2012,true,false,true,true
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.scientificamerican.com%2Farticle%2Fnew-science-discovery-2025&psig=AOvVaw1xY2zZ9pQrT8sUvWxYz12Xy&ust=1756024276009000&source=articles&cd=vfe&opi=89991&FILENAME=science-breakthrough.html,1/21/2011,3/10/2021,true,true,true,true
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.forbes.com%2Fbusiness%2F2025-trends&psig=AOvVaw0pLmN7pQrT8sUvWxYz12Ii&ust=1756024276009000&source=articles&cd=vfe&opi=90000&FILENAME=business-trends.html,7/2/2016,11/18/2004,false,false,false,true
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pixar.com%2Ffeature-films&psig=AOvVaw3kLmN7pQrT8sUvWxYz12Nc&ust=1756024276009000&source=videos&cd=vfe&opi=89994&FILENAME=animation8.mkv,8/20/2008,1/13/2001,true,true,false,false
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.espn.com%2Fvideo%2Fclip%3Fid%3D32178945&psig=AOvVaw3kLmN7pQrT8sUvWxYz12Vw&ust=1756024276009000&source=videos&cd=vfe&opi=89990&FILENAME=sports5.mp4,7/5/2014,4/18/2010,true,false,false,true
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.gettyimages.com%2Fphotos%2Fblack-and-white&psig=AOvVaw1xY2zZ9pQrT8sUvWxYz12Ff&ust=1756024276009000&source=images&cd=vfe&opi=90023&FILENAME=black-and-white31.jpg,12/4/2020,6/5/2013,true,false,false,true
