id,picture_id,object,bounding_box_start_xy,bounding_box_end_xy
1,1,person,"120,80","280,420"
2,1,tree,"300,50","450,300"
3,1,cloud,"50,20","200,120"
4,2,building,"50,100","500,450"
5,2,road,"10,380","600,470"
6,3,cat,"200,150","400,350"
7,3,flower,"100,400","180,450"
8,4,dog,"150,200","350,400"
9,4,bench,"400,350","550,420"
10,5,tree,"100,50","300,350"
11,5,flower,"250,380","320,420"
12,6,building,"80,60","520,480"
13,6,window,"300,120","380,200"
14,7,road,"0,300","600,480"
15,7,car,"400,320","550,400"
16,8,bicycle,"180,200","380,400"
17,8,person,"300,80","450,380"
18,9,boat,"150,180","450,320"
19,9,river,"0,350","600,480"
20,10,flower,"200,200","350,350"
21,11,chair,"100,250","250,400"
22,11,table,"280,300","500,450"
23,12,laptop,"120,150","400,350"
24,12,phone,"420,280","500,360"
25,13,book,"150,100","350,300"
26,13,cup,"400,280","460,350"
27,14,backpack,"80,120","200,300"
28,14,sunglasses,"350,80","450,120"
29,15,hat,"250,50","350,120"
30,16,guitar,"100,150","450,400"
31,17,piano,"50,80","550,380"
32,18,apple,"250,200","320,260"
33,19,banana,"180,180","280,240"
34,20,pizza,"150,150","450,350"
35,21,coffee_cup,"280,220","380,300"
36,22,bench,"100,300","400,450"
37,23,streetlight,"450,80","500,400"
38,24,traffic_light,"300,50","360,120"
39,25,stop_sign,"200,100","280,200"
40,26,bus,"50,120","500,350"
41,27,truck,"80,150","480,380"
42,28,motorcycle,"150,200","380,380"
43,29,airplane,"100,80","500,250"
44,30,train,"50,120","550,300"
45,31,horse,"200,150","450,400"
46,32,bird,"350,80","420,150"
47,33,fish,"180,220","300,300"
48,34,mountain,"0,50","600,250"
49,35,river,"0,300","600,480"
50,36,beach,"0,250","600,480"
51,37,cloud,"100,50","300,150"
52,38,sun,"400,50","500,150"
53,39,moon,"250,80","350,180"
54,40,star,"120,30","150,60"
55,41,computer,"80,100","480,350"
56,42,keyboard,"100,250","500,350"
57,43,mouse,"380,300","480,360"
58,44,monitor,"120,80","480,320"
59,45,headphones,"150,100","400,250"
60,46,watch,"250,200","320,260"
61,47,ring,"300,250","340,290"
62,48,necklace,"200,180","350,220"
63,49,bricks,"100,300","300,450"
64,50,wood,"50,200","250,400"
65,51,glass,"350,150","450,300"
66,52,metal,"180,280","380,400"
67,53,plastic,"80,320","200,400"
68,54,ball,"250,200","320,260"
69,55,soccer_ball,"200,250","280,320"
70,56,basketball,"150,180","250,260"
71,57,tennis_racket,"100,120","300,300"
72,58,skateboard,"80,300","300,380"
73,59,umbrella,"200,100","350,350"
74,60,jacket,"150,80","400,350"
75,61,shirt,"180,120","380,320"
76,62,pants,"100,250","350,450"
77,63,shoes,"200,380","350,450"
78,64,hat,"250,50","350,150"
79,65,gloves,"120,280","220,380"
80,66,clock,"200,150","300,250"
81,67,lampshade,"300,80","400,200"
82,68,bed,"50,100","500,350"
83,69,sofa,"80,200","500,400"
84,70,door,"300,80","380,350"
85,71,window,"100,120","250,280"
86,72,stairs,"50,300","200,480"
87,73,fence,"0,250","600,300"
88,74,bridge,"100,150","500,250"
89,75,statue,"200,80","350,350"
90,76,painting,"150,50","450,300"
91,77,sculpture,"180,100","320,300"
92,78,camera,"120,120","300,280"
93,79,drone,"200,80","400,200"
94,80,robot,"150,100","400,400"
95,81,printer,"250,200","450,350"
96,82,scissors,"180,250","280,320"
97,83,hammer,"100,180","200,260"
98,84,wrench,"300,300","380,360"
99,85,screwdriver,"220,280","320,340"
100,86,knife,"150,220","220,300"
101,87,spoon,"350,320","420,380"
102,88,fork,"180,280","250,350"
103,89,plate,"200,200","350,260"
104,90,bowl,"250,180","350,260"
105,91,bag,"120,150","280,350"
106,92,wallet,"300,250","400,320"
107,93,keys,"150,280","220,340"
108,94,pen,"200,220","250,300"
109,95,pencil,"180,180","250,260"
110,96,notebook,"100,100","400,350"
111,97,person,"200,80","350,380"
112,98,car,"150,250","450,400"
